ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91901,1,2025,A,Y,0,0,0
91901,1,2025,C,Y,0,0,0
91901,1,2025,I,Y,0,0,0
91901,1,2025,R,Y,2707,1624391,600
91902,1,2025,A,Y,0,0,0
91902,1,2025,C,Y,0,0,0
91902,1,2025,I,Y,0,0,0
91902,1,2025,R,N,1153,558219,484
91905,1,2025,A,Y,0,0,0
91905,1,2025,C,Y,0,0,0
91905,1,2025,I,Y,0,0,0
91905,1,2025,R,Y,0,0,0
91906,1,2025,A,Y,0,0,0
91906,1,2025,C,Y,0,0,0
91906,1,2025,I,Y,0,0,0
91906,1,2025,R,Y,597,437575,733
91910,1,2025,A,Y,0,0,0
91910,1,2025,C,Y,531,6643383,12511
91910,1,2025,I,Y,0,0,0
91910,1,2025,R,Y,7702,2387445,310
91911,1,2025,A,Y,0,0,0
91911,1,2025,C,Y,710,6116230,8614
91911,1,2025,I,Y,0,0,0
91911,1,2025,R,Y,6704,2361091,352
91912,1,2025,A,Y,0,0,0
91912,1,2025,C,Y,0,0,0
91912,1,2025,I,Y,0,0,0
91912,1,2025,R,Y,0,0,0
91913,1,2025,A,Y,0,0,0
91913,1,2025,C,Y,0,0,0
91913,1,2025,I,Y,0,0,0
91913,1,2025,R,N,6365,2151699,338
91914,1,2025,A,Y,0,0,0
91914,1,2025,C,Y,0,0,0
91914,1,2025,I,Y,0,0,0
91914,1,2025,R,N,913,331807,363
91915,1,2025,A,Y,0,0,0
91915,1,2025,C,Y,0,0,0
91915,1,2025,I,Y,0,0,0
91915,1,2025,R,N,4038,1307460,324
91916,1,2025,A,Y,0,0,0
91916,1,2025,C,Y,0,0,0
91916,1,2025,I,Y,0,0,0
91916,1,2025,R,Y,0,0,0
91917,1,2025,A,Y,0,0,0
91917,1,2025,C,Y,0,0,0
91917,1,2025,I,Y,0,0,0
91917,1,2025,R,Y,0,0,0
91931,1,2025,A,Y,0,0,0
91931,1,2025,C,Y,0,0,0
91931,1,2025,I,Y,0,0,0
91931,1,2025,R,Y,0,0,0
91932,1,2025,A,Y,0,0,0
91932,1,2025,C,N,128,441245,3447
91932,1,2025,I,Y,0,0,0
91932,1,2025,R,N,3939,1140806,290
91934,1,2025,A,Y,0,0,0
91934,1,2025,C,Y,0,0,0
91934,1,2025,I,Y,0,0,0
91934,1,2025,R,Y,0,0,0
91935,1,2025,A,Y,0,0,0
91935,1,2025,C,Y,0,0,0
91935,1,2025,I,Y,0,0,0
91935,1,2025,R,N,566,332034,587
91941,1,2025,A,Y,0,0,0
91941,1,2025,C,Y,0,0,0
91941,1,2025,I,Y,0,0,0
91941,1,2025,R,N,3468,1219801,352
91942,1,2025,A,Y,0,0,0
91942,1,2025,C,N,535,4732140,8845
91942,1,2025,I,Y,0,0,0
91942,1,2025,R,N,6762,2179066,322
91945,1,2025,A,Y,0,0,0
91945,1,2025,C,N,583,2805309,4812
91945,1,2025,I,Y,0,0,0
91945,1,2025,R,N,9172,3321937,362
91948,1,2025,A,Y,0,0,0
91948,1,2025,C,Y,0,0,0
91948,1,2025,I,Y,0,0,0
91948,1,2025,R,Y,0,0,0
91950,1,2025,A,Y,0,0,0
91950,1,2025,C,Y,586,6197550,10576
91950,1,2025,I,Y,0,0,0
91950,1,2025,R,Y,3859,1410873,366
91962,1,2025,A,Y,0,0,0
91962,1,2025,C,Y,0,0,0
91962,1,2025,I,Y,0,0,0
91962,1,2025,R,Y,0,0,0
91963,1,2025,A,Y,0,0,0
91963,1,2025,C,Y,0,0,0
91963,1,2025,I,Y,0,0,0
91963,1,2025,R,Y,0,0,0
91977,1,2025,A,Y,0,0,0
91977,1,2025,C,Y,0,0,0
91977,1,2025,I,Y,0,0,0
91977,1,2025,R,N,4222,1408717,334
91978,1,2025,A,Y,0,0,0
